,順位,名称・コード・市場,取引値,平均年収(千円),設立年月日,従業員数(単独)
0,1,Ｍ＆Ａキャピタルパートナーズ(株)6080東証PRM掲示板,"3,01505/13",26880,2005/10/12,142
1,2,ヒューリック(株)3003東証PRM掲示板,"1,04305/13",18030,1931/03/30,189
2,3,(株)キーエンス6861東証PRM掲示板,"51,02005/13",17510,1974/05/27,2607
3,4,地主(株)3252東証PRM掲示板,"1,95605/13",16940,2000/04/07,45
4,5,三菱商事(株)8058東証PRM掲示板,"4,28505/13",16780,1950/04/01,5725
5,6,伊藤忠商事(株)8001東証PRM掲示板,"3,54105/13",16270,1949/12/01,4192
6,7,(株)ＴＢＳホールディングス9401東証PRM掲示板,"1,75805/13",15010,1951/05/17,117
7,8,三井物産(株)8031東証PRM掲示板,"3,08005/13",14820,1947/07/25,5587
8,9,(株)スクウェア・エニックス・ホールディングス9684東証PRM掲示板,"5,22005/13",14690,1980/02/05,24
9,10,(株)ストライク6196東証PRM掲示板,"3,85005/13",14320,1997/07/11,201
10,11,ソフトバンクグループ(株)9984東証PRM掲示板,"5,04005/13",14040,1981/09/03,241
11,12,日本テレビホールディングス(株)9404東証PRM掲示板,"1,24905/13",13840,1952/10/28,198
12,13,レーザーテック(株)6920東証PRM掲示板,"17,01005/13",13790,1962/08/13,349
13,14,住友商事(株)8053東証PRM掲示板,"1,847.505/13",13560,1919/12/24,5240
14,15,霞ヶ関キャピタル(株)3498東証GRT掲示板,"1,96705/13",13110,2015/06/30,100
15,16,(株)テレビ東京ホールディングス9413東証PRM掲示板,"1,98705/13",12890,2010/10/01,99
16,17,(株)マーキュリアホールディングス7347東証PRM掲示板,58405/13,12820,2021/07/01,55
17,18,(株)テレビ朝日ホールディングス9409東証PRM掲示板,"1,50205/13",12800,1957/11/01,1242
18,19,(株)コンコルディア・フィナンシャルグループ7186東証PRM掲示板,45105/13,12740,2016/04/01,10
19,20,三井不動産(株)8801東証PRM掲示板,"2,710.505/13",12730,1941/07/15,1776
20,21,三菱地所(株)8802東証PRM掲示板,"1,81805/13",12670,1937/05/07,1049
21,22,三井住友トラスト・ホールディングス(株)8309東証PRM掲示板,"4,05805/13",12610,2002/02/01,224
22,23,(株)日本Ｍ＆Ａセンターホールディングス2127東証PRM掲示板,"1,34505/13",12430,1991/04/25,774
23,24,そーせいグループ(株)4565東証GRT掲示板,"1,14005/13",12280,1990/06/22,30
24,25,(株)野村総合研究所4307東証PRM掲示板,"3,26005/13",12250,1966/01/05,---
25,26,朝日放送グループホールディングス(株)9405東証PRM掲示板,70705/13,12250,1951/03/15,63
26,27,ジャフコ　グループ(株)8595東証PRM掲示板,"1,54105/13",12200,1973/04/05,101
27,28,(株)ジャストシステム4686東証PRM掲示板,"5,30005/13",11980,1981/06/02,338
28,29,シンバイオ製薬(株)4582東証GRT掲示板,68205/13,11940,2005/03/25,141
29,30,丸紅(株)8002東証PRM掲示板,"1,32405/13",11920,1949/12/01,4380
30,31,東京エレクトロン(株)8035東証PRM掲示板,"56,99005/13",11790,1963/11/11,1707
31,32,(株)スカパーＪＳＡＴホールディングス9412東証PRM掲示板,46805/13,11760,2007/04/02,27
32,33,(株)シグマクシス・ホールディングス6088東証PRM掲示板,"1,04305/13",11690,2008/05/09,---
33,34,(株)ランドビジネス8944東証STD掲示板,23805/13,11580,1985/02/13,23
34,35,アンジェス(株)4563東証GRT掲示板,36505/13,11490,1999/12/17,34
35,36,イーレックス(株)9517東証PRM掲示板,"1,78705/13",11470,1999/12/08,141
36,37,ショーボンドホールディングス(株)1414東証PRM掲示板,"5,57005/13",11370,2008/01/04,670
37,38,鹿島1812東証PRM掲示板,"1,39805/13",11350,1930/02/22,8134
38,39,(株)レッド・プラネット・ジャパン3350東証STD掲示板,5205/13,11210,1999/06/11,5
39,40,ビジョナル(株)4194東証GRT掲示板,"6,07005/13",11190,2020/02/03,118
40,41,(株)プロパスト3236東証STD掲示板,14605/13,11170,1987/12/18,45
41,42,第一三共(株)4568東証PRM掲示板,"3,30205/13",11160,2005/09/28,---
42,43,(株)三菱総合研究所3636東証PRM掲示板,"4,11505/13",11110,1970/05/08,1021
43,44,ＳＯＭＰＯホールディングス(株)8630東証PRM掲示板,"5,07105/13",11090,2010/04/01,459
44,45,(株)めぶきフィナンシャルグループ7167東証PRM掲示板,25505/13,11040,2008/04/01,17
45,46,(株)ベイカレント・コンサルティング6532東証PRM掲示板,"41,95005/13",11010,2014/04/18,2161
46,47,ＲＰＡホールディングス(株)6572東証PRM掲示板,37405/13,11010,2000/04/03,17
47,48,豊田通商(株)8015東証PRM掲示板,"4,51005/13",11000,1948/07/01,2692
48,49,ファナック(株)6954東証PRM掲示板,"19,83005/13",10980,1972/05/12,4105
49,50,双日(株)2768東証PRM掲示板,"1,99605/13",10950,2003/04/01,2587
